,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-27,2017-02-28,2017-03-01,2017-03-02,2017-03-03
AMD,13.63,13.29,13.56,13.42,13.58,13.49,13.26,13.30,12.97,13.13,14.00,14.28,14.32,14.12,15.20,14.46,14.96,13.90,13.03
MU,24.34,24.60,24.209999,24.450001,24.049999,23.90,23.120001,23.02,22.98,23.35,23.77,23.75,23.48,23.24,23.76,23.440001,24.549999,24.700001,25.57
SQ,14.40,14.40,14.47,14.73,14.61,14.50,14.33,14.31,13.89,14.47,14.63,15.04,17.15,17.43,17.93,17.32,17.219999,16.99,16.889999
AAPL,130.289993,131.529999,132.039993,132.419998,132.119995,133.289993,135.020004,135.509995,135.350006,135.720001,136.699997,137.110001,136.529999,136.660004,136.929993,136.990005,139.789993,138.960007,139.779999
NVDA,117.309998,119.129997,118.610001,116.379997,113.620003,108.379997,108.779999,109.00,107.25,107.230003,111.07,110.760002,100.489998,101.459999,104.410004,101.480003,102.790001,99.00,98.43
BKS,10.05,9.85,10.35,10.70,10.85,10.65,10.65,10.80,10.45,10.50,10.60,10.45,10.05,10.25,10.20,9.80,9.90,9.05,8.95

AMD,,-2.494497432135008,2.031602708803622,-1.032448377581125,1.1922503725782425,-0.6627393225331359,-1.7049666419570082,0.30165912518854393,-2.4812030075187974,1.233616037008482,6.626047220106619,1.9999999999999956,0.2801120448179336,-1.3966480446927447,7.64872521246459,-4.868421052631569,3.457814661134163,-7.085561497326206,-6.258992805755402
MU,,1.0682004930156186,-1.5853699186991934,0.9913342003855534,-1.63599993308794,-0.6236964916297963,-3.263594142259415,-0.43253025810854817,-0.173761946133793,1.6100957354221106,1.7987152034261162,-0.08413967185527797,-1.136842105263156,-1.0221465076661072,2.237521514629962,-1.34679713804715,4.735486146097012,0.6110061348678696,3.522263015292995
SQ,,0.0,0.4861111111111131,1.7968210089841037,-0.8146639511201696,-0.752908966461324,-1.1724137931034477,-0.13956734124214637,-2.935010482180293,4.175665946724262,1.1057360055286811,2.8024606971975277,14.029255319148934,1.6326530612244965,2.8686173264486516,-3.4021193530395957,-0.5773729792147743,-1.3356504840679895,-0.5885874043554968
AAPL,,0.9517277355291544,0.38773968210857057,0.2877953802981365,-0.22655414932116505,0.8855571028442902,1.2979301454385928,0.3629025222070082,-0.11806435385079597,0.27336164285060227,0.722071907441262,0.2999297798082724,-0.42301947033025505,0.09522083128410688,0.19756255824491972,0.04382677504409162,2.0439359791249103,-0.593737779212865,0.5900920831128149
NVDA,,1.5514440636168196,-0.43649459673872576,-1.8801146456444207,-2.3715364075838616,-4.611869267421155,0.36907364003710075,0.20224398053174858,-1.6055045871559634,-0.018645221445224795,3.5810844843490277,-0.2791014675429847,-9.27230391346508,0.9652711904721069,2.9075547300172992,-2.8062454628389863,1.2908927485940331,-3.6871300351480722,-0.5757575757575689
BKS,,-1.9900497512437916,5.0761421319796955,3.3816425120772915,1.4018691588785082,-1.8433179723502238,0.0,1.4084507042253553,-3.240740740740754,0.4784688995215379,0.952380952380949,-1.4150943396226447,-3.8277511961722355,1.9900497512437738,-0.4878048780487874,-3.9215686274509665,1.0204081632653024,-8.585858585858581,-1.1049723756906233
